Date;cac40_price
08/18/2021;6770.11
08/17/2021;6819.84
08/16/2021;6838.77
08/13/2021;6896.04
08/12/2021;6882.47
08/11/2021;6857.99
08/10/2021;6820.21
08/09/2021;6813.18
08/06/2021;6816.96
08/05/2021;6781.19
08/04/2021;6746.23
08/03/2021;6723.81
08/02/2021;6675.90
07/30/2021;6612.76
07/29/2021;6633.77
07/28/2021;6609.31
07/27/2021;6531.92
07/26/2021;6578.60
07/23/2021;6568.82
07/22/2021;6481.59
07/21/2021;6464.48
07/20/2021;6346.85
07/19/2021;6295.97
07/16/2021;6460.08
07/15/2021;6493.36
07/14/2021;6558.38
07/13/2021;6558.47
07/12/2021;6559.25
07/09/2021;6529.42
07/08/2021;6396.73
07/07/2021;6527.72
07/06/2021;6507.48
07/05/2021;6567.54
07/02/2021;6552.86
07/01/2021;6553.82
06/30/2021;6507.83
06/29/2021;6567.43
06/28/2021;6558.02
06/25/2021;6622.87
06/24/2021;6631.15
06/23/2021;6551.07
06/22/2021;6611.50
06/21/2021;6602.54
06/18/2021;6569.16
06/17/2021;6666.26
06/16/2021;6652.65
06/15/2021;6639.52
06/14/2021;6616.35
06/11/2021;6600.66
06/10/2021;6546.49
06/09/2021;6563.45
06/08/2021;6551.01
06/07/2021;6543.56
06/04/2021;6515.66
06/03/2021;6507.92
06/02/2021;6521.52
06/01/2021;6489.40
05/31/2021;6447.17
05/28/2021;6484.11
05/27/2021;6435.71
05/26/2021;6391.60
05/25/2021;6390.27
05/24/2021;6408.49
05/21/2021;6386.41
05/20/2021;6343.58
05/19/2021;6262.55
05/18/2021;6353.67
05/17/2021;6367.35
05/14/2021;6385.14
05/13/2021;6288.33
05/12/2021;6279.35
05/11/2021;6267.39
05/10/2021;6385.99
05/07/2021;6385.51
05/06/2021;6357.09
05/05/2021;6339.47
05/04/2021;6251.75
05/03/2021;6307.90
04/30/2021;6269.48
04/29/2021;6302.57
04/28/2021;6306.98
04/27/2021;6273.76
04/26/2021;6275.52
04/23/2021;6257.94
04/22/2021;6267.28
04/21/2021;6210.55
04/20/2021;6165.11
04/19/2021;6296.69
04/16/2021;6287.07
04/15/2021;6234.14
04/14/2021;6208.58
04/13/2021;6184.10
04/12/2021;6161.68
04/09/2021;6169.41
04/08/2021;6165.72
04/07/2021;6130.66
04/06/2021;6131.34
04/01/2021;6102.96
03/31/2021;6067.23
03/30/2021;6088.04
03/29/2021;6015.51
03/26/2021;5988.81
03/25/2021;5952.41
03/24/2021;5947.29
03/23/2021;5945.30
03/22/2021;5968.48
03/19/2021;5997.96
03/18/2021;6062.79
03/17/2021;6054.82
03/16/2021;6055.43
03/15/2021;6035.97
03/12/2021;6046.55
03/11/2021;6033.76
03/10/2021;5990.55
03/09/2021;5924.97
03/08/2021;5902.99
03/05/2021;5782.65
03/04/2021;5830.65
03/03/2021;5830.06
03/02/2021;5809.73
03/01/2021;5792.79
02/26/2021;5703.22
02/25/2021;5783.89
02/24/2021;5797.98
02/23/2021;5779.84
02/22/2021;5767.44
02/19/2021;5773.55
02/18/2021;5728.33
02/17/2021;5765.84
02/16/2021;5786.53
02/15/2021;5786.25
02/12/2021;5703.67
02/11/2021;5669.82
02/10/2021;5670.80
02/09/2021;5691.54
02/08/2021;5686.03
02/05/2021;5659.26
02/04/2021;5608.54
02/03/2021;5563.05
02/02/2021;5563.11
02/01/2021;5461.68
01/29/2021;5399.21
01/28/2021;5510.52
01/27/2021;5459.62
01/26/2021;5523.52
01/25/2021;5472.36
01/22/2021;5559.57
01/21/2021;5590.79
01/20/2021;5628.44
01/19/2021;5598.61
01/18/2021;5617.27
01/15/2021;5611.69
01/14/2021;5681.14
01/13/2021;5662.67
01/12/2021;5650.97
01/11/2021;5662.43
01/08/2021;5706.88
01/07/2021;5669.85
01/06/2021;5630.60
01/05/2021;5564.60
01/04/2021;5588.96
12/31/2020;5551.41
12/30/2020;5599.41
12/29/2020;5611.79
12/28/2020;5588.38
12/24/2020;5522.01
12/23/2020;5527.59
12/22/2020;5466.86
12/21/2020;5393.34
12/18/2020;5527.84
12/17/2020;5549.46
12/16/2020;5547.68
12/15/2020;5530.31
12/14/2020;5527.84
12/11/2020;5507.55
12/10/2020;5549.65
12/09/2020;5546.82
12/08/2020;5560.67
12/07/2020;5573.38
12/04/2020;5609.15
12/03/2020;5574.36
12/02/2020;5583.01
12/01/2020;5581.64
11/30/2020;5518.55
11/27/2020;5598.18
11/26/2020;5566.79
11/25/2020;5571.29
11/24/2020;5558.42
11/23/2020;5492.15
11/20/2020;5495.89
11/19/2020;5474.66
11/18/2020;5511.45
11/17/2020;5483.00
11/16/2020;5471.48
11/13/2020;5380.16
11/12/2020;5362.57
11/11/2020;5445.21
11/10/2020;5418.97
11/09/2020;5336.32
11/06/2020;4960.88
11/05/2020;4983.99
11/04/2020;4922.85
11/03/2020;4805.61
11/02/2020;4691.14
10/30/2020;4594.24
10/29/2020;4569.67
10/28/2020;4571.12
10/27/2020;4730.66
10/26/2020;4816.12
10/23/2020;4909.64
10/22/2020;4851.38
10/21/2020;4853.95
10/20/2020;4929.28
10/19/2020;4942.62
10/16/2020;4935.86
10/15/2020;4837.42
10/14/2020;4941.66
10/13/2020;4947.61
10/12/2020;4979.29
10/09/2020;4946.81
10/08/2020;4911.94
10/07/2020;4882.00
10/06/2020;4895.46
10/05/2020;4871.87
10/02/2020;4824.88
10/01/2020;4824.04
09/30/2020;4803.44
09/29/2020;4832.07
09/28/2020;4843.27
09/25/2020;4729.66
09/24/2020;4762.62
09/23/2020;4802.26
09/22/2020;4772.84
09/21/2020;4792.04
09/18/2020;4978.18
09/17/2020;5039.50
09/16/2020;5074.42
09/15/2020;5067.93
09/14/2020;5051.88
09/11/2020;5034.14
09/10/2020;5023.93
09/09/2020;5042.98
09/08/2020;4973.52
09/07/2020;5053.72
09/04/2020;4965.07
09/03/2020;5009.52
09/02/2020;5031.74
09/01/2020;4938.10
08/31/2020;4947.22
08/28/2020;5002.94
08/27/2020;5015.97
08/26/2020;5048.43
08/25/2020;5008.27
08/24/2020;5007.89
08/21/2020;4896.33
08/20/2020;4911.24
08/19/2020;4977.23
08/18/2020;4938.06
08/17/2020;4971.94
08/14/2020;4962.93
08/13/2020;5042.38
08/12/2020;5073.31
08/11/2020;5027.99
08/10/2020;4909.51
08/07/2020;4889.52
08/06/2020;4885.13
08/05/2020;4933.34
08/04/2020;4889.52
08/03/2020;4875.93
07/31/2020;4783.69
07/30/2020;4852.94
07/29/2020;4958.74
07/28/2020;4928.94
07/27/2020;4939.62
07/24/2020;4956.43
07/23/2020;5033.76
07/22/2020;5037.12
07/21/2020;5104.28
07/20/2020;5093.18
07/17/2020;5069.42
07/16/2020;5085.28
07/15/2020;5108.98
07/14/2020;5007.46
07/13/2020;5056.23
07/10/2020;4970.48
07/09/2020;4921.01
07/08/2020;4981.13
07/07/2020;5043.73
07/06/2020;5081.51
07/03/2020;5007.14
07/02/2020;5049.38
07/01/2020;4926.94
06/30/2020;4935.99
06/29/2020;4945.46
06/26/2020;4909.64
06/25/2020;4918.58
06/24/2020;4871.36
